Type,Size,Price,Time
Greedy,4,4781,1
Dynamic,4,4781,400
Greedy,8,1792,2
Dynamic,8,1792,257
Greedy,12,7962,3
Dynamic,12,7962,1936
Greedy,16,254,3
Dynamic,16,254,49
Greedy,20,3034,5
Dynamic,20,3034,1235
Greedy,30,6817,8
Dynamic,30,6817,4168
Greedy,40,6684,12
Dynamic,40,6684,5422
Greedy,50,9980,17
Dynamic,50,9980,11665
Greedy,60,3909,18
Dynamic,60,3909,5374
Greedy,70,8984,22
Dynamic,70,8984,18150
Greedy,80,5594,31
Dynamic,80,5594,12164
Greedy,90,759,33
Dynamic,90,759,1427
Greedy,100,6996,39
Dynamic,100,6996,19192
Greedy,120,8589,47
Dynamic,120,8589,28168
Greedy,140,3879,60
Dynamic,140,3879,15235
Greedy,160,5411,68
Dynamic,160,5411,29822
Greedy,180,3728,77
Dynamic,180,3728,19192
Greedy,200,4004,88
Dynamic,200,4004,20461
Greedy,4,7966,2
Dynamic,4,7966,781
Greedy,8,5200,2
Dynamic,8,5200,969
Greedy,12,1303,3
Dynamic,12,1303,333
Greedy,16,7279,5
Dynamic,16,7279,2710
Greedy,20,8715,7
Dynamic,20,8715,4309
Greedy,30,9256,11
Dynamic,30,9256,7627
Greedy,40,6000,14
Dynamic,40,6000,6810
Greedy,50,2036,17
Dynamic,50,2036,2596
Greedy,60,1274,21
Dynamic,60,1274,1957
Greedy,70,8777,26
Dynamic,70,8777,16808
Greedy,80,58,30
Dynamic,80,58,69
Greedy,90,3956,33
Dynamic,90,3956,9510
Greedy,100,1000,38
Dynamic,100,1000,2272
Greedy,120,5581,49
Dynamic,120,5581,18949
Greedy,140,7301,59
Dynamic,140,7301,29756
Greedy,160,8760,68
Dynamic,160,8760,40820
Greedy,180,4206,76
Dynamic,180,4206,21417
Greedy,200,7282,90
Dynamic,200,7282,42248
Greedy,4,1965,1
Dynamic,4,1965,121
Greedy,8,2932,1
Dynamic,8,2932,363
Greedy,12,6280,3
Dynamic,12,6280,1243
Greedy,16,1809,3
Dynamic,16,1809,432
Greedy,20,1160,4
Dynamic,20,1160,360
Greedy,30,6734,7
Dynamic,30,6734,3232
Greedy,40,989,8
Dynamic,40,989,524
Greedy,50,5241,10
Dynamic,50,5241,4169
Greedy,60,7244,13
Dynamic,60,7244,7233
Greedy,70,2872,15
Dynamic,70,2872,3057
Greedy,80,1112,17
Dynamic,80,1112,1222
Greedy,90,9712,21
Dynamic,90,9712,15446
Greedy,100,4711,26
Dynamic,100,4711,8227
Greedy,120,6302,31
Dynamic,120,6302,13397
Greedy,140,9174,36
Dynamic,140,9174,23049
Greedy,160,1012,43
Dynamic,160,1012,2390
Greedy,180,6918,47
Dynamic,180,6918,34481
Greedy,200,1388,48
Dynamic,200,1388,3868
Greedy,4,6393,1
Dynamic,4,6393,476
Greedy,8,4016,2
Dynamic,8,4016,569
Greedy,12,6532,3
Dynamic,12,6532,1454
Greedy,16,8650,3
Dynamic,16,8650,2515
Greedy,20,4848,5
Dynamic,20,4848,1696
Greedy,30,2976,7
Dynamic,30,2976,1515
Greedy,40,9928,10
Dynamic,40,9928,7112
Greedy,50,2169,11
Dynamic,50,2169,1830
Greedy,60,1683,15
Dynamic,60,1683,1659
Greedy,70,5367,19
Dynamic,70,5367,6587
Greedy,80,9969,21
Dynamic,80,9969,14351
Greedy,90,3018,21
Dynamic,90,3018,4721
Greedy,100,3987,26
Dynamic,100,3987,6949
Greedy,120,5811,31
Dynamic,120,5811,12341
Greedy,140,2606,36
Dynamic,140,2606,8147
Greedy,160,4945,43
Dynamic,160,4945,13824
Greedy,180,2703,48
Dynamic,180,2703,9162
Greedy,200,5472,70
Dynamic,200,5472,21690
Greedy,4,5576,1
Dynamic,4,5576,393
Greedy,8,7094,2
Dynamic,8,7094,922
Greedy,12,9554,2
Dynamic,12,9554,1886
Greedy,16,432,3
Dynamic,16,432,74
Greedy,20,959,4
Dynamic,20,959,255
Greedy,30,380,6
Dynamic,30,380,104
Greedy,40,1811,8
